,name,team,battingStyle,bowlingStyle,playingRole
167,Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler
168,Wayne Parnell,South Africa,Left hand Bat,Left arm Medium fast,Bowler
169,Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler
170,Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler
171,Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler
172,Timm van der Gugten,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
173,Finn Allen,New Zealand,Right hand Bat,,Top order Batter
174,Devon Conway,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter
175,Kane Williamson,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter
176,Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
177,James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder
178,Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter
179,Matthew Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter
180,Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler
181,Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler
182,Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler
183,Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
184,Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,Bowler
185,Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler
186,Aryan Lakra,U.A.E.,Left hand Bat,Slow Left arm Orthodox,Bowler
187,Stephan Myburgh,Netherlands,Left hand Bat,Right arm Offbreak,Opening Batter
188,Brandon Glover,Netherlands,Right hand Bat,Right arm Fast,Bowler
189,Shoriful Islam,Bangladesh,Left hand Bat,Left arm Medium fast,Bowler
190,Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Allrounder
191,Kasun Rajitha,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
192,Deepak Hooda,India,Right hand Bat,Right arm Offbreak,Allrounder
193,Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter
194,Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter
195,David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter
196,Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
197,Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler
198,Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
199,Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Allrounder
200,Ebadot Hossain,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler
201,Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
202,Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder
203,Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
204,Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder
205,Steven Smith,Australia,Right hand Bat,Legbreak Googly,Middle order Batter
206,Matthew Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter
207,Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler
208,Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder
209,Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter
210,Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler
211,Rishabh Pant,India,Left hand Bat,,Wicketkeeper Batter
212,Tony Munyonga,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
213,Wellington Masakadza,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Bowler
214,Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler
215,Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
216,Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler
217,Regis Chakabva,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
218,Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder
